placeKey	newContext
Cilicia	A province in the southeast corner of Asia Minor; Paul was from Tarsus, the capital city of the province, and traveled through the region during his second missionary journey.
Cnidus	A seaport on the southwest coast of Asia Minor; Paul and his companions stopped here during the voyage to Rome, prior to encountering the storm at sea.
Colossae	A city in Phrygia in Asia Minor near Hierapolis and Laodicea; the letter to the Colossians was addressed to the church there. 
Corinth	A city in Greece where Paul ministered for a year and a half (Acts 18:11); Paul wrote at least two letters to the church here.
Cos	An island in the Aegean Sea where Paul's ship made a stop on his journey to Jerusalem.
Court	An area enclosed by walls or buildings; part of the temple complex.
Crete	An island in the Mediterranean Sea, south of Greece, where Titus ministered (Tit 1:5).
Cush.2	Cush Nation: An ethnic group and their territory; regarded as descendants of Cush, son of Ham.
Cyprus	An island off the south coast of Asia Minor; Paul and Barnabas ministered here during Paul's first missionary journey (Acts 13:4–12).
Cyrene	A city on the coast of North Africa and its people; home of Simon, who was forced to carry the cross of Christ (Matthew 27:32–44). 
Dalmatia	The southern part of Illyricum.
Damascus	A town in Syria; capital of one of the Aramaean kingdoms. Paul was converted on the road to Damascus (Acts 9:1–9).
Debir	Debir of Judah: A Levitical town in the hill country of the territory of Judah, assigned to the clan of Aaron; formerly called Kiriath-Sepher and also known as Kiriath-Sannah. It was captured by Othniel, Israel's first judge (Judges 1:11–13).
Decapolis	A league of ten cities in a region southeast of the Sea of Galilee, where Jesus healed a deaf man (Matthew 27:31–37; Mark 15:21–32).
Derbe	A city in Lycaonia, southeast of Lystra; Paul ministered here during his missionary journeys.
Dibon	Dibon of Moab: A town in Moab said to be built by the tribe of Gad, but also attributed to the tribe of Reuben.
Dor	A coastal town in the territory of West Manasseh, north of Caesarea.
Dothan	A town in northern Israel, probably to be identified with Tel Dothan; Joseph went to meet his brothers there before they plotted to kill him (Genesis 37:17).
Dumah.2	Dumah of Judah: A town in the hill country of the territory of Judah; possibly to be identified with Arumah.
East	
EbalMount	A mountain north of Shechem where the Israelites pronounced curses (Deuteronomy 11:29); often associated with Mount Gerizim to the south.
Ebenezer	Ebenezer Place: A location near Aphek where the Israelites encamped before battling the Philistines (1 Samuel 4:1).
Ecbatana	The capital city of the province of Media, where a scroll containing the decrees of King Darius were found (Ezra 6).
Edom	A nation located south of the Dead Sea; considered descendants of Esau. 
Edrei	Edrei of Og: A town in Bashan; part of the kingdom of Og, and later assigned to Manasseh.
Eglon	A town in the foothills of the territory of Judah captured by Joshua (Joshua 10:35).
Egypt	A nation and their territory; regarded as founded by one of the sons of Ham with the same name.
Ekron	A town in Philistia; one of the five cities of the Philistines.
ElahValley	A valley in the Shephelah where David killed Goliath (1 Samuel 17).
Elam	A nation located between Mesopotamia and Persia; regarded as founded by a person with the same name.
Elim	A location in the Sinai Peninsula, not far from the Sea of Reeds, containing 12 springs of water and 70 palm trees; the Israelites encamped their on their way from Egypt to Canaan.
Emmaus	A village in Judea, not far from Jerusalem, where Jesus appeared to two disciples after his resurrection (Luke 24:13–35).
En-dor	A town in the territory of Issachar but allotted to Manasseh, where Saul consulted with a medium (1 Samuel 28:7–25).
Engedi	An oasis in the wilderness of the territory of Judah, on the western shore of the Dead Sea; also known as Hazezon-Tamar.
En-rogel	A spring on the boundary between the territories of Judah and Benjamin.
Ephesus	A seaport in the western part of the Roman province of Asia; one of the seven cities addressed in Revelation. The letter of Ephesians was addressed to the church there.
Ephrath	A town in the territory of Judah where Jacob buried Rachel, his wife; also known as Ephrathah and Bethlehem.
Etham	A location in eastern Egypt near Succoth and on the edge of the desert, where the Israelites encamped on their way from Egypt to Canaan. When setting out from Etham they turned back in the direction of Pi-Hahiroth, and after having crossed the Sea of Reeds the Israelites passed through the desert of Etham.
Ethiopia	A country south of Egypt; approximately equivalent to Cush.
Euphrates	A large river in Mesopotamia; one of the four rivers flowing from the garden of Eden.
Ezion-geber	A seaport town on the Gulf of Aqaba, near Elath, where the Israelites camped on their journey from Egypt to Canaan.
FairHavens	A bay on the south coast of Crete; Paul's ship sought refuge from the windy sea on his voyage to Rome.
FieldOfBlood	
ForumOfAppius	A market town south of Rome which Paul visited on his way to Rome.
Gadara	Gadara of the Decapolis: A Decapolis city southwest of the Sea of Galilee; modern-day Umm Qais.
Galatia	A district in the Roman province of Asia; the letter to the Galatians is addressed to the church here.
Galilee	A region located in the northernmost part of Israel where most of Jesus' ministry took place. 
GalileeSea	A large body of freshwater east of the territory of Galilee, in northern Israel, through which the Jordan River flows and where Jesus walked on water (Matthew 14:22–33; Mark 6:45–52; John 6:16–21).
Gath	A town in Philistia; one of the five cities of the Philistines.
Gaza	A town in Philistia; one of the five cities of the Philistines.
Geba	A Levitical town in the territory of Benjamin, possibly to be identified with Gibeah; hometown of King Saul.
Gebal	Gebal Byblos: A town in Phoenicia, north of Israel, and functioning as the seaport of the major city of Byblos, which used to trade with Tyre.
Gennesaret	A fertile plain on the northwest shore of the Sea of Galilee, south of Capernaum, where Jesus healed many sick people (Matthew 14:34–36; Mark 6:53–56).
Gerar	A town in western Negev, not far from Gaza, inhabited by the Philistines; one of the places where Abraham and Isaac sojourned.
Gerasa	A city in Perea, east of the Jordan and southeast of the Sea of Galilee; one of the cities of the Decapolis. Jesus cast out many demons from a man while in the region near there (Mark 5:1–20; Luke 8:26–39).
GerizimMount	A mountain southwest of Shechem where the Israelites pronounced blessings (Deuteronomy 11:29); often associated with Mount Ebal to the north.
Geshur	A kingdom located between Gilead, Bashan, and Mount Hermon (ABD).
Gethsemane	A garden at the foot of the Mount of Olives, where Jesus was arrested (Matthew 26:47–56; Mark 14:43–52).
Gezer	A Levitical town in the territory of Ephraim, assigned to the clan of Kohath; possibly to be identified with Gob. It was conquered by Joshua and the Israelites but later retaken by the Canaanites.
Gibeah	Gibeah of Judah: A town located in the hilly country of the territory of Judah.
Gibeon	A town in the territory of Benjamin; one of the four Hivite cities that made a covenant with Joshua (Joshua 9:17–18).
Gihon.2	A spring on the east side of Jerusalem, right outside the city wall; it was later made accessible from inside the town by means of a tunnel.
GilboaMount	A mountain range in Israel, southeast of the Jezreel Valley, where Saul and three of his sons died (1 Samuel 31:1–6). 
Gilead	An area on the east side of the Jordan River; supposedly named after Gilead, son of Makir, tribe of Manasseh.
Gilgal.3	Gilgal near Jericho: A town close to Jericho where the Israelites first camped after crossing the Jordan River and set up twelve stones as a monument; it later became the location of a cultic center.
Golan	A Levitical town of refuge in Bashan, in the territory of Manasseh east of the Jordan River, assigned to the clan of Gershon.
Golgotha	A hill near Jerusalem where executions took place and where Jesus was crucified (Matthew 27:33–44; Mark 15:21–32; John 19:16–19).
Gomer	A nation located in the vicinity of the Black Sea; possibly to be identified with Cimmerians, considered descendants of Japheth through his son Gomer (Genesis 10:2).
Goshen	Goshen of Egypt: A region in the eastern Egyptian delta where the Israelites lived from the time they settled in the country until the exodus.
GreatSea	A large body of water located between southern Europe, northern Africa, and western Asia, which borders Palestine on the west.
Greece	A nation on the southern end of the Balkan Peninsula.
Ham	Ham of Zuzim: A location inhabited by the Zuzim, which was subdued by Chedorlaomer and the allied kings.
Hamath	A town on the Orontes River in Syria; capital of Aramean kingdom; its inhabitants were relocated to Samaria by the king of Assyria.
Haran	A town in northern Mesopotamia where Abraham's father settled when coming from Ur, and where his relatives continued to live. It was later destroyed by Assyria and was a trading partner of Tyre.
Havilah	A region, possibly located in Arabia, surrounded by the Pishon River; known for fragrant resins and precious stones (ABD).
Hazor	Hazor of Galilee: A fortified town in Galilee.
Hebron	A Levitical town in the territory of Judah, assigned to the clan of Aaron; formerly known as Kiriath-Arba. The patriarchs were buried in a cave there.
HermonMount	A mountain in the Anti-Lebanon range, northeast of Israel; also known as Senir, Sion, and Sirion.
Heshbon	A Levitical town in the territory of Gad, assigned to the clan of Merari; former residence of Sihon, king of the Amorites (who had captured it from Moab); later occupied by Moab.
Hierapolis	A city in Phrygia near Colossae and Laodicea.
HinnomValley	A valley west and south of Jerusalem; known for the idol worship that took place there.
Hormah	A town where the Amalekites and the Canaanites defeated the Israelites; later conquered by the Israelites and allotted to the tribe of Simeon.
HorMount	Mount Hor of Edom: A mountain on the Edomite border where Aaron died (Numbers 33:38–39).
Iconium	A city in Lycaonia, in southern Asia Minor; Paul and Barnabas traveled here during Paul's first missionary journey.
Idumea	A mountainous region south of Judea and north of the earlier region known as Edom.
Illyricum	A district north of Macedonia.
India	A land located east of Persia, which formed the eastern boundary of the kingdom ruled by Ahasuerus (Esther 1:1).
Israel	The land inhabited by the Israelites.
Italy	A peninsula in Southern Europe, surrounded by the Adriatic, Ionian, and Tyrrhenian seas.
Ituraea	A small province northeast of the Sea of Galilee, which was part of the tetrarchy of Philip (Luke 3:1).
Jabbok	A river flowing west from its source near Rabbath-Ammon to empty into the Jordan River about 40 km north of the Dead Sea.
Jabesh-gilead	A town in Gilead in Transjordan.
Jabneel	Jabneel of Judah: A town in the northwestern edge of the territory of Judah, on the coastal plain; possibly to be identified with Jabneh, 
JacobsWell	A well east of Shechem, associated with the patriarch Jacob, where Jesus spoke with the Samaritan woman (John 4:6).
Jarmuth	Jarmuth of Judah: A town in the foothills of the territory of Judah.
Javan	A nation usually identified with Greece; considered descendants of Japheth through his son Javan.
Jebus	A town of the Jebusites that later became Jerusalem.
Jericho	A town northwest of the Dead Sea in the territory of Benjamin; first town conquered by Israel after they entered Canaan.
Jerusalem	The capital city of Israel in the territory of Judah, formerly referred to as Salem and Jebus. It was conquered by King David, who made it the capital of his kingdom (2 Samuel 5:6–9).
Jezreel.2	Jezreel of Issachar: A town in the territory of Issachar.
Jokneam	A Levitical town in the territory of Zebulun, near Mount Carmel; assigned to the clan of Merari.
Joppa	A seaport town in the territory of Dan.
Jordan	A river flowing south from Mount Hermon through the Sea of Galilee into the Dead Sea. Jesus was baptized by John in the Jordan River (Matthew 3:13–17; Mark 1:9–11; Luke 3:21–22; John 1:29–34).
Judea	A region in southern Palestine associated with the tribe of Judah.
Kadesh	A location between Gilead and Dan-Jaan visited by David's military commanders during the census.
Kadesh-barnea	A town in the wilderness of Zin, in the northern part of the Sinai Peninsula, where the Israelites encamped on their way from Egypt to Canaan; it is also the location of the Meribah Spring. Spies were sent out into Canaan from this place; it later marked the southern border of the territory of Judah.
Kedesh	Kedesh in Upper Galilee: A town in Upper Galilee, in the territory of Naphtali; assigned to the clan of Gershon of tribe of Levi as a town of refuge (Joshua 21:31); later captured by Tiglath-Pileser.
Keilah	A fortified town in the foothills of the territory of Judah.
Kenite	A town in the hill country of the territory of Judah.
Kidron	A valley located east of Jerusalem between the ancient city and the Mount of Olives.
Kir-hareseth	A town in Moab; also known as Kir-Heres.
Kiriath-jearim	A town located in the hill country of the territory of Judah; one of the four Hivite cities that made a covenant with Joshua (Joshua 9:17–18); also known as Kiriath-Baal, Baalah, and Baale-Judah, .
Kittim	An island in the Mediterranean Sea; possibly to be identified with Cyprus.
Lachish	A fortified town in the foothills of the territory of Judah, where Amaziah, king of Judah, was assassinated.
Laish	
Laodicea	A city in Phrygia in Asia Minor near Colossae and Hierapolis; one of the seven cities addressed in Revelation.
Lasea	A city on the south coast of the island of Crete near Fair Havens.
LebanonMount	A range of mountains north of Israel known for the cedar and other trees growing there.
Libnah.2	Libnah of Judah: A Levitical town in the foothills of the territory of Judah; assigned to the clan of Aaron.
Libya	A country in North Africa; Libyans were among those present at Pentecost (Acts 2:10).
Lo-debar	A town east of the Jordan River, assigned to the tribe of Gad.
Londinium	The capital city of Roman Britain; modern-day London.
Lycaonia	A province in the interior of Asia Minor; Paul and Barnabas fled to Lystra and Derbe in this region when the people of Iconium sought to stone them.
Lycia	A region on the south coast of Asia Minor.
Lydda	A town in the territory of Benjamin; built by Shemed.
Lydia	A province in Western Asia Minor.
Lystra	A city in Lycaonia in Asia Minor, northwest of Derbe; Paul met Timothy there.
Maacah	A small Aramean nation located northeast of the Sea of Galilee.
Macedonia	A Roman province in Greece; Paul had a vision of a man of Macedonia who pleaded with him to come and preach the gospel (Acts 16:9–10).
Magadan	An uncertain location west of the Sea of Galilee to which Jesus came after he fed the 4,000 (Matthew 15:39).
Mahanaim	A Levitical town in the territory of Gad, assigned to the clan of Merari; capital of the kingdom of Isboseth, son of Saul.
Makkedah	A town in the foothills of the territory of Judah.
Malta	An island south of Sicily where Paul was shipwrecked on his voyage to Rome.
Mamre	A location with oak trees near Hebron, where Abraham pitched his tents.
Maon	A town in the hill country of the territory of Judah; residence of Nabal and his wife Abigail, who later married David.
Marah	A location in the wilderness of Etham where the Israelites encamped shortly after crossing the Sea of Reeds on their way from Egypt to Canaan; here bitter water was made drinkable.
Mareshah	A town in the foothills of the territory of Judah.
Medeba	A town in the territory of Reuben, in Moab.
Media	A nation and their territory; regarded as founded by Madai; the empire was consolidated in the 6th–5th BCE and stretched from Mesopotamia to Turkey.
Megiddo	A town in the territory of Manasseh, southwest of the Jezreel Valley, where King Josiah of Judah was killed during his battle with Pharaoh Neco; former Canaanite kingdom.
Memphis	A town in Egypt; residence and capital of many of its kings (ABD).
Meshech	A nation named after Meshech, son of Japheth and grandson of Noah.
Mesopotamia	A region between the Tigris and Euphrates Rivers; the Garden of Eden was located here.
Michmash	A town in the territory of Benjamin.
Midian	Son of Keturah, wife of Abraham; regarded as ancestor of an ethnic group with the same name, and the region they occupied.
Miletus	A seaport city of Caria, on the west coast of Asia Minor; Paul met with the Ephesian elders here.
Mitylene	The chief city on the island of Lesbos in the Aegean Sea.
Mizpah	Mizpah of Benjamin: A town in the territory of Benjamin where Israel assembled after the atrocity that was committed in Gibeah, and where Israel assembled during the time of Samuel's leadership; residence of the governor Gedaliah after the destruction of Jerusalem.
Mizpeh	Mizpeh of Moab: A location in Moab; residence of Moabite king.
Moab	A nation and its territory situated east of the Dead Sea; regarded as founded by a son of Lot.
Myra	A city on the south coast of Lycia in Asia Minor where Paul boarded an Alexandrian ship on his way to Rome.
Mysia	A province in northwest Asia Minor where Paul passed through during his second missionary journey.
Nain	A city in southern Galilee where Jesus raised a widow's son.
Nazareth	A town in south central Galilee, where Jesus lived as a child (Matthew 2:23).
Neapolis	The harbor of Philippi in Macedonia; Paul and his companions sailed here from Samothrace.
NeboMount	A mountain in Moab, near Jericho, where Moses had a view of the promised land before he died (Deuteronomy 34:1–4).
Negeb	A area of land located in the south of Israel, consisting of little vegetation and with very little annual rainfall; inhabited by numerous peoples, initially by the Canaanites in Arad and the Amalekites, and later, the people of Judah.
Nicopolis	A seaport city on the west coast of Greece, which Paul visited during his travels (Tit 3:12).
Nile	A large body of flowing water located in Egypt; very important to transportation, irrigation, and life in Egypt.
Nineveh	A town in northern Mesopotamia near Mosul, on the east bank of the Tigris River; built by Nimrod after the flood. It was the capital of Assyria; the prophet Jonah preached against the town.
OlivesMount	A mountain, named for its olive groves, east of Jerusalem and the Kidron Valley and near Gethsemane; an important location during the final week of Jesus' life. The southern peak, where Solomon built shrines to Chemosh and Molech (1Ki 11:7), is often referred to as the "Mount of Offense." 
Paddan-aram	A region in upper Mesopotamia, located around the great bend of the Euphrates River in northern Syria; ancestral home of Abraham’s family (ABD); also known as Aram-Naharaim.
Palestine	The land of the Philistines, situated along the coast of the Mediterranean and concentrated around the cities of Gaza, Gath, Ekron, Ashdod, and Ashkelon.
Pamphylia	A province in the southern part of Asia Minor; Paul and his companions traveled here during his first missionary journey.
Paphos	A seaport city on the southwest coast of the island of Cyprus, where Paul and Barnabas encountered Elymas the sorcerer (Acts 13:6–12).
Paran	A mountain in the wilderness of Paran.
Patara	A city in Lycia on the southwest coast of Asia Minor where Paul's ship made a stop on his journey to Jerusalem.
Patmos	A small, rock island in the Aegean Sea where John received his revelation.
Penuel	A town on the Jabbok River; also known as Peniel.
Perga	A city in Pamphylia, near the south coast of Asia Minor; Paul traveled here during his first missionary journey.
Pergamum	An important city in northwest Asia Minor; one of the seven cities addressed in Revelation.
Persia	A nation and its territory, which was greatly expanded during the reign of Cyrus I.
Philadelphia	A city in the west central part of Asia Minor; one of the seven cities addressed in Revelation.
Philippi	A city in Macedonia; the letter to the Philippians was addressed to the church there.
Phoenicia	A region along the coast of the Mediterranean Sea to the west and north of Palestine, and its inhabitants.
Phoenix	A seaport on the south coast of Crete where Paul and his shipmates hoped to harbor for the winter before continuing on to Rome.
Phrygia	A district in central Asia Minor through which Paul traveled during his missionary journeys.
Pisidia	A region in the province of Galatia, in southern Asia Minor.
Pithom	A town in Egypt; one of the two cities for storage that had to be built by the Hebrew slaves.
Pontus	A region in northeast Asia Minor; home of Aquila (Acts 18:2).
Ptolemais	A seaport on the coast of Palestine; Acco in the Old Testament.
Pul	A land and ethnic group located in Asia Minor, possibly to be identified with the Lydians; regarded as descendants of Shem; known as archers. 
Punon	A location along the route of the exodus where the Israelites encamped on their way from Egypt to Canaan.
Put	A nation descended from a man of the same name; possibly to be identified with Libya.
Puteoli	A city on the coast of Italy, south of Rome; visited by Paul on his journey to Rome.
Rabbah	Rabbah of the Ammonites: A town in Ammon and capital of the Ammonite kingdom; first conquered by Israel on their way from Egypt, and later again by David.
Ramah	Ramah of Ephraim: A town in the territory of Ephraim, where Samuel lived; also known as Ramathaim Zophim.
Ramoth-gilead	A Levitical town in Gilead, in the territory of Gad; assigned to the clan of Merari.
RedSea	A body of salt water located between Egypt and the Sinai Peninsula, which the Israelites crossed after they left Egypt.
RedSea.2	The northeastern arm of the Red Sea.
Rehoboth	Rehoboth Well: A well, dug by herdsmen of Isaac, which, unlike the wells of Esek and Sitnah, did not become a source of contention between them and the herdsmen of Gerar.
Rhegium	A city on a promontory in the south of Italy; visited by Paul on his journey to Rome.
Rhodes	An island, with a city of the same name, off the southwest coast of Asia Minor; Paul's ship stopped here on his journey to Jerusalem.
Riblah	
Rome	The capital city of the Roman Empire and an early center of Christianity. The letter to the Romans was addressed to the church there.
Salamis	A city on the southeast coast of Cyprus; Paul and Barnabas preached here during their first missionary journey.
Salem	A town ruled by Melchizedek during the time of Abraham; to be identified with Jerusalem.
Salim	A place of uncertain location in Samaria, near Aenon where John was baptizing.
Salmone	A promontory on the northeast corner of Crete; Paul's ship sailed near here during his journey to Rome.
SaltSea	A large body of salt water (literally "the sea of salt") located in the basin of the Jordan Valley, east of Judah; the Jordan River flows from the north into the northern part of this sea. The water is so salty that no living organism inhabits it.
Samaria	Samaria City: A city constructed by King Omri which was the capital of the northern Israelite kingdom until it was conquered by Assyrians; often used to refer to the entire northern kingdom.
Samaria.2	A region in the central part of Palestine, between Galilee and the Dead Sea, named after its capital city; 
Samos	An island off the west coast of Asia Minor; Paul's ship stopped here during his third missionary journey.
Samothrace	An island in the northern Aegean Sea; Paul's ship stopped here on his journey from Troas to Philippi.
Sardis	A city in western Asia Minor; one of the seven cities addressed in Revelation.
Seir	Seir Region: A mountainous area east of the Jordan Valley and south of Moab, first inhabited by the Horites and later by the Edomites. 
Seleucia	The port city of Antioch in Syria; Paul and Barnabas departed for Cyprus from here.
Shechem	A Levitical town of refuge in the hill country of the territory of Ephraim; assigned to the clan of Kohath. God appeared to Abram at Shechem and Abram built an altar.
SheepGate	A gate in the walls of Jerusalem, near the pool of Bethesda, which was rebuilt by the high priest Eliashib and his fellow priests (Nehemiah 3:1).
Shiloh	A town in the territory of Ephraim; location of the Tent of Meeting for some time.
Shittim	A location on the plains of Moab, across from Jericho, where the Israelites camped before crossing the Jordan River (JOS 3:1).
Shunem	A town in the territory of Issachar.
Shur	A wilderness east of Egypt.
Sidon	A seaport town on the Phoenician coast, north of Tyre; marked the northern boundary of the promised land.
Siloam	The name for a system of water supply in Jerusalem; the pool of Siloam was probably the basin into which the water flowed.
Sinai	A mountain located on the Sinai Peninsula; another name for Mount Sinai.
SinaiMount	A mountain and surrounding desert on the Sinai Peninsula in Egypt where YHWH entered into a covenant with Israel; also known as Mount Horeb.
Smyrna	A city on the west coast of Asia Minor; one of the seven cities addressed in Revelation.
Socoh	Socoh in the Shephelah: A town in the foothills of the territory of Judah.
SolomonsPortico	A colonnade on the east side of the Herod's temple in Jerusalem. 
Spain	A country at the western end of the Mediterranean Sea; Paul planned to travel there after visiting Jerusalem.
Succoth	Succoth of Gad: A town in the territory of Gad.
Susa	The capital of Persia.
Sychar	A city in Samaria where Jesus spoke to the Samaritan Woman at Jacob's Well.
Syracuse	A city on the east coast of Sicily where Paul stayed for three days while on his way to Rome.
Syria	A region to the north and east of Palestine; known as Aram in the Old Testament.
Syrtis	Two shallow and treacherous Mediterranean gulfs along the North African coastline; Paul's ship was wrecked on Malta after attempting to avoid running aground here.
Taanach	A Levitical town in the territory of Manasseh, west of the Jordan River; assigned to the clan of Kohath.
TaborMount	A mountain in the territory of Naphtali, northeast of the Jezreel Valley, where Deborah and Barak launched an attack against Sisera's army (Judges 4:12–16).
