key	en	es	fr	ne
showOnlyMissing	Show only verses without matching renderings	Mostrar solo versículos sin traducciones coincidentes	Afficher uniquement les versets sans traductions correspondantes	मिल्दो अनुवाद नभएका पदहरू मात्र देखाउनुहोस्
showAllVerses	Show all verses	Mostrar todos los versículos	Afficher tous les versets	सबै पदहरू देखाउनुहोस्
showUniqueForms	Show unique forms	Mostrar formas únicas	Afficher les formes uniques	अनूठो रूपहरू देखाउनुहोस्
missing	Missing	Faltante	Manquant	हराइरहेको
unique	Unique	Único	Unique	अनूठो
showTallyFractions	Show tally fractions	Mostrar fracciones del conteo	Afficher les fractions du total	गणना भिन्नहरू देखाउनुहोस्
templateInfo	Template info	Información de la plantilla	Infos du modèle	टेम्प्लेट जानकारी
termRenderings	Term Renderings	Traducciones de términos	Rendus des Termes	शब्द अनुवादहरू
usageRules	Usage and Attribution Rules	Reglas de uso y atribución	Règles d'utilisation et d'attribution	प्रयोग र श्रेय नियमहरू
usfmView	USFM View	Vista de USFM	Vue USFM	USFM दृश्य
invalidDataMerge	Invalid data merge file format	Formato de archivo de combinación de datos no válido	Format de fichier de fusion de données invalide	अमान्य डाटा मर्ज फाइल ढाँचा
failedToReadFile	Failed to read file content	Error al leer el contenido del archivo	Échec de lecture du contenu du fichier	फाइल सामग्री पढ्न असफल
errorSelectingFile	Error selecting file	Error al seleccionar archivo	Erreur lors de la sélection du fichier	फाइल छनोट गर्दा त्रुटि
loadingImage	Loading image...	Cargando imagen...	Chargement de l'image...	छवि लोड हुँदै...
exportCancelled	Export cancelled	Exportación cancelada	Exportation annulée	निर्यात रद्द गरियो
notExported	Not exported	No exportado	Non exporté	निर्यात गरिएन
couldNotSendToParatext	Could not send reference to Paratext	No se pudo enviar la referencia a Paratext	Impossible d'envoyer la référence à Paratext	Paratext मा सन्दर्भ पठाउन सकिएन
errorSendingToParatext	Error sending reference to Paratext	Error al enviar la referencia a Paratext	Erreur lors de l'envoi de référence à Paratext	Paratext मा सन्दर्भ पठाउँदा त्रुटि
paratextInstructions	1. Go to Paratext and edit {reference}.\n2. Save your changes in Paratext.\n3. Come back here and click "OK" to refresh the verse text from Paratext.	1. Ve a Paratext y edita {reference}.\n2. Guarda tus cambios en Paratext.\n3. Regresa aquí y haz clic en "Aceptar" para actualizar el texto del versículo desde Paratext.	1. Allez à Paratext et éditez {reference}.\n2. Sauvegardez vos modifications dans Paratext.\n3. Revenez ici et cliquez sur "OK" pour actualiser le texte du verset depuis Paratext.	1. Paratext मा जानुहोस् र {reference} सम्पादन गर्नुहोस्।\n2. Paratext मा आफ्ना परिवर्तनहरू बचत गर्नुहोस्।\n3. यहाँ फर्केर आउनुहोस् र Paratext बाट पद पाठ रिफ्रेश गर्न "OK" क्लिक गर्नुहोस्।
failedToRequestVerses	Failed to request filtered verses	Error al solicitar versículos filtrados	Échec de la demande de versets filtrés	फिल्टर गरिएका पदहरू अनुरोध गर्न असफल
indesignIdml	InDesign (IDML)	InDesign (IDML)	InDesign (IDML)	InDesign (IDML)
mapCreatorMapx	Map Creator (MAPX)	Map Creator (MAPX)	Map Creator (MAPX)	Map Creator (MAPX)
sendReferenceToParatext	Send reference to Paratext	Enviar la referencia a Paratext	Envoyer la référence à Paratext	Paratext मा सन्दर्भ पठाउनुहोस्
noVerseTextYet	No verse text yet	Aún no hay texto del versículo	Pas encore de texte de verset	अझै पद पाठ छैन
matchFound	Match found	Coincidencia encontrada	Correspondance trouvée	मेल फेला पर्यो
noMatchClickToDeny	No match (Click to deny)	Sin coincidencia (Clic para denegar)	Pas de correspondance (Cliquer pour refuser)	कुनै मेल छैन (अस्वीकार गर्न क्लिक गर्नुहोस्)
removeDenial	Remove denial	Eliminar denegación	Supprimer le refus	अस्वीकार हटाउनुहोस्
markAsDenied	Mark as denied	Marcar como denegado	Marquer comme refusé	अस्वीकारको रूपमा चिन्ह लगाउनुहोस्
noVerseTextYetBrackets	[No verse text yet]	[Aún no hay texto del versículo]	[Pas encore de texte de verset]	[अझै पद पाठ छैन]
failedToLoadTermRenderings	Failed to load term-renderings.json	Error al cargar term-renderings.json	Échec du chargement de term-renderings.json	term-renderings.json लोड गर्न असफल
loadingMapImage	Loading map image...	Cargando imagen del mapa...	Chargement de l'image de la carte...	नक्सा छवि लोड हुँदै...
imageLoadingFailed	Image loading failed. Please check the installation.	Error al cargar la imagen. Verifique la instalación.	Échec du chargement de l'image. Veuillez vérifier l'installation.	छवि लोड गर्न असफल। कृपया स्थापना जाँच गर्नुहोस्।
exportToDataMergeFile	Export to data merge file	Exportar a archivo de combinación de datos	Exporter vers un fichier de fusion de données	डाटा मर्ज फाइलमा निर्यात गर्नुहोस्
selectOutputFormat	Select output format:	Seleccionar formato de salida:	Sélectionner le format de sortie:	आउटपुट ढाँचा छनोट गर्नुहोस्:
loadingSettings	Loading settings...	Cargando configuración...	Chargement des paramètres...	सेटिङहरू लोड हुँदै...
paratextDiagramLabeler	Paratext Diagram Labeler	Paratext Diagram Labeler	Paratext Diagram Labeler	Paratext Diagram Labeler
templateFolder	Template Folder:	Carpeta de Plantillas:	Dossier de Modèles:	टेम्प्लेट फोल्डर:
projectFolder	Project Folder:	Carpeta del Proyecto:	Dossier du Projet:	परियोजना फोल्डर:
saveRenderingsTo	Save Renderings To:	Guardar traducciones en:	Enregistrer les Rendus Dans:	अनुवादहरू यहाँ बचत गर्नुहोस्:
usfmInOut	USFM In/Out:	USFM Entrada/Salida:	USFM Entrée/Sortie:	USFM इन/आउट:
specifyTemplateFolder	Please specify the location of the folder containing the map templates	Especifique la ubicación de la carpeta que contiene las plantillas de mapas	Veuillez spécifier l'emplacement du dossier contenant les modèles de cartes	कृपया नक्सा टेम्प्लेटहरू भएको फोल्डरको स्थान निर्दिष्ट गर्नुहोस्
templateFolderNotFound	Template folder not found. Please specify the location of the folder containing the map templates.	Carpeta de plantillas no encontrada. Especifique la ubicación de la carpeta que contiene las plantillas de mapas.	Dossier de modèles introuvable. Veuillez spécifier l'emplacement du dossier contenant les modèles de cartes.	टेम्प्लेट फोल्डर फेला परेन। कृपया नक्सा टेम्प्लेटहरू भएको फोल्डरको स्थान निर्दिष्ट गर्नुहोस्।
specifyProjectFolder	Please specify the location of your Paratext project folder	Especifique la ubicación de su carpeta de proyecto de Paratext	Veuillez spécifier l'emplacement de votre dossier de projet Paratext	कृपया आफ्नो Paratext परियोजना फोल्डरको स्थान निर्दिष्ट गर्नुहोस्
projectFolderNotFound	Project folder not found. Please specify the location of your Paratext project folder.	Carpeta de proyecto no encontrada. Especifique la ubicación de su carpeta de proyecto de Paratext.	Dossier de projet introuvable. Veuillez spécifier l'emplacement de votre dossier de projet Paratext.	परियोजना फोल्डर फेला परेन। कृपया आफ्नो Paratext परियोजना फोल्डरको स्थान निर्दिष्ट गर्नुहोस्।
failedToLoadTermRenderingsFromFolder	Failed to load term renderings from project folder. Please check the folder and try again.	Error al cargar las traducciones de términos desde la carpeta del proyecto. Verifique la carpeta e intente nuevamente.	Échec du chargement des rendus de termes depuis le dossier du projet. Veuillez vérifier le dossier et réessayer.	परियोजना फोल्डरबाट शब्द अनुवादहरू लोड गर्न असफल। कृपया फोल्डर जाँच गर्नुहोस् र फेरि प्रयास गर्नुहोस्।
errorCheckingProjectFolder	Error checking project folder	Error al verificar la carpeta del proyecto	Erreur lors de la vérification du dossier du projet	परियोजना फोल्डर जाँच गर्दा त्रुटि
errorCheckingTemplateFolder	Error checking template folder	Error al verificar la carpeta de plantillas	Erreur lors de la vérification du dossier de modèles	टेम्प्लेट फोल्डर जाँच गर्दा त्रुटि
