Id	Strong	Transliteration	Gloss	Definition	Category	Domain	References	spell-N	spell-n	spell-E	spell-G	spell-R	spell-T	spell-K	pc-N	pc-n	pc-E	pc-G	pc-R	pc-T	pc-K
ἀγάπη-2	G0026	agapē-2	fellowship meal	a special type of communal meal having particular significance for early Christians as an expression of their mutual affection and concern	AT	affection	065001012				fellowship meals				0	0	0	100	0	0	0
Ἁγάρ	G0028	Hagar	Hagar	the handmaid of Sarah and the concubine of Abraham and mother of Ishmael	PN	person	048004024 048004025	Hagar	Hagar	Hagar	Hagar	Hagar	Hagar	Agar	100	100	100	100	100	100	100
ἀγγεῖον	G0030	angeion	container; vessel	a container, primarily for liquids or wet objects; relatively small, containing not more than a liter	RE	artifacts	040025004				containers			vessels	0	0	0	100	0	0	100
ἁγιασμός	G0038	hagiasmos	consecration; dedication	dedication to the service of and to loyalty to a deity	AT	clean, pure, holy; attitudes and emotions	045006019 045006022 046001030 052004003 052004004 052004007 053002013 054002015 058012014 060001002	redemption	redemption	sanctification	dedicated	sanctification	sanctification	sanctification	10	10	40	10	30	20	20
ἁγιάζω-1	G0037	hagiazō-1	dedicate; consecrate	to dedicate to the service of and to loyalty to a deity	AT	clean, pure, holy	043010036 043017017 043017019 043017019 045015016 046006011 046007014 046007014 049005026 054004005 055002021	consecrated	consecrated	consecrate	dedicated	consecrated			11	11	11	33	44	0	0
ἁγιάζω-2	G0037	hagiazō-2	make holy; sanctify	to cause someone or something to have the quality of holiness	AT	clean, pure, holy	040023017 040023019 044020032 044026018 052005023 058002011 058002011 058009013 058010010 058010014 058010029 058013012 066022011	made holy	made holy	sanctify	make you holy	sanctified	made holy	sanctified	25	25	25	8	42	17	50
ἁγιάζω-3	G0037	hagiazō-3	hallow, regard as holy	to feel reverence for or to honor as holy	AT	clean, pure, holy	040006009 042011002 060003015	hallowed	hallowed	hallowed	how	Hallowed	apart as Lord	Hallowed	67	67	67	33	33	33	67
ἁγιότης	G0041	hagiotēs	holiness	the quality of holiness as an expression of the divine in contrast with the human	AT	clean, pure, holy	058012010	holiness	holiness	holiness	holiness	holiness	holiness	holiness	100	100	100	100	100	100	100
ἁγιωσύνη	G0042	hagiōsunē	holiness	the quality of holiness as an expression of the divine in contrast with the human	AT	clean, pure, holy	045001004 047007001 052003013	holiness	holiness	holiness	holiness	holiness	holiness	holiness	67	67	100	33	100	67	100
ἁγνεία	G0047	hagneia	being without moral defect; purity	the quality of moral purity	AT	clean, pure, holy; morals and ethics	054004012 054005002	purity	purity	purity	purity	purity	purity	purity	100	100	100	100	100	100	100
ἁγνισμός	G0049	hagnismos	purification	process of being purified and cleansed ritually and thus acquire a state of ritual acceptability	AT	rituals; clean, pure, holy	044021026	purification	purification	purification	purification	purification	purification	purification	100	100	100	100	100	100	100
ἁγνίζω	G0048	hagnizō	to purify	to purify and cleanse ritually and thus acquire a state of ritual acceptability	AT	rituals; clean, pure, holy	043011055 044021024 044021026 044024018 059004008 060001022 062003003	and purify	and purify	and purify	Purify	and purify	and purify	and purify	14	14	29	14	29	14	29
ἁγνός	G0053	hagnos	pure; without defect	pertaining to being without moral defect or blemish and hence pure	AT	clean, pure, holy; morals and ethics	047007011 047011002 050004008 054005022 056002005 059003017 060003002 062003003	pure	pure	pure	pure	pure	pure	pure	75	75	88	88	63	88	50
ἁγνότης	G0054	hagnotēs	being without moral defect; purity	the quality of moral purity	AT	clean, pure, holy; morals and ethics	047006006 047011003	purity	purity	purity	purity	purity	purity	subtilty	50	50	50	50	50	50	50
ἀγοραῖος	G0060	agoraios	court; court of justice	a place or social institution that involves a person being brought before a judge to determine that person's guilt or innocence in a matter	RE	court	044019038	courts	courts	courts	court	courts	courts		100	100	100	100	100	100	0
ἀγοράζω	G0059	agorazō	redeem; set free	literally: to buy for a price; hence: to cause the release or freedom of someone by a means which proves costly to the individual causing the release	AT	help, protect, save	046006020 046007023 061002001 066005009 066014003 066014004	redeemed	redeemed	redeemed	redeemed	redeemed	redeemed	redeemed	17	17	33	50	33	33	50
ἀγριέλαιος	G0065	agrielaios	wild olive tree	a tree regarded by some (though probably wrongly) as the ancestor of the domestic olive tree; smaller, produces smaller fruit with less oil than domestic variety; Olea europaea sylvestris	FL	trees; fruits	045011017 045011024	an olive tree	an olive tree	wild olive tree	wild olive tree	wild olive tree	wild olive tree	wild olive tree	50	50	50	100	50	50	50
Ἀγρίππας	G0067	Agrippas	Agrippa	Herod Agrippa II, the son of Herod Agrippa I	PN	person	044025013 044025022 044025023 044025024 044025026 044026001 044026002 044026019 044026027 044026028 044026032	Agrippa	Agrippa	Agrippa	Agrippa	Agrippa	Agrippa	Agrippa	100	100	100	91	100	100	100
ἀγωγή	G0072	agōgē	behavior; conduct	a person's way of behaving, with apparent focus upon overt daily behavior	AT	behavior	055003010			conduct	conduct	conduct			0	0	100	100	100	0	0
Ἀδάμ	G0076	Adam	Adam	ancestor of the human race	PN	person	042003038 045005014 045005014 046015022 046015045 046015045 054002013 054002014 065001014	Adam	Adam	Adam	Adam	Adam	Adam	Adam	100	100	100	100	100	100	100
Ἀδδί	G0078	Addi	Addi	a person in the genealogy of Jesus	PN	person	042003028	Addi	Addi	Addi	Addi	Addi	Addi	Addi	100	100	100	100	100	100	100
ἀδελφή	G0079	adelphē	sister (in Christ)	literally: a female having the same father and mother as the reference person; hence also: fellow believer in Christ	BE	people; kinship; affection	040012050 040013056 040019029 041003032 041003035 041006003 041010029 041010030 042010039 042010040 042014026 043011001 043011003 043011005 043011028 043011039 043019025 044023016 045016001 045016015 046007015 046009005 054005002 057001002 059002015 063001013	sister and	sister and	sister and	sister and	sister and	sister and	sister and	15	15	15	8	15	15	15
