LookupKey	Id	Gloss	Definition	spell-N	Category	Domain	Priority
abelmaim	אָבֵל מַיִם	Abel-Maim	town in Naphtali; also known as Abel-Beth-Maacah and Abel	Abel Maim	PN	settlement	1
abelmeholah	אָבֵל מְחוֹלָה	Abel-Meholah	town in Gilead	Abel Meholah	PN	settlement	1
abelmizraim	אָבֵל מִצְרַיִם	Abel-Mizraim	a location east of the Jordan	Abel Mizraim	PN	settlement	1
abelshittim	אָבֵל הַשִּׁטִּים	Abel-Shittim	town; east of the Jordan river	Abel Shittim	PN	settlement	1
abethshemite	בֵּית הַשִּׁמְשִׁי	from Beth-Shemesh	inhabitant of Beth-Shemesh	of Beth Shemesh	PN	group	5
abez	אֶבֶץ	Ebez	town in territory of Issachar	Ebez	PN	settlement	5
abi	אֲבִי	Abi	daughter of Zechariah; wife of Ahaz; mother of Hezekiah; also known as Abijah	Abijah	PN	person	6
abia	Ἀβιά-1	Abijah	a person in the genealogy of Jesus	Abijah	PN	person	9
abia	Ἀβιά-2	Abijah	a founder of a class of priests	Abijah	PN	person	9
abiah	אֲבִיָּה-1	Abijah	son of Becher from the tribe of Benjamin	Abijah	PN	person	10
abiah	אֲבִיָּה-2	Abijah	wife of Hezron	Abijah	PN	person	10
abiah	אֲבִיָּה-3	Abijah	son of Samuel	Abijah	PN	person	10
abialbon	אֲבִי־עַלְבוֹן	Abi-Albon	warrior in time of king David; also known as Abiel	Abi-Albon	PN	person	6
abiasaph	אֲבִיאָסָף	Abiasaph	son of Korah, from the tribe of Levi	Abiasaph	PN	person	6
abiathar	Ἀβιαθάρ	Abiathar	a priest to David	Abiathar	PN	person	5
abiathar	אֶבְיָתָר	Abiathar	son of Ahimelech; priest in the time of king David	Abiathar	PN	person	6
abida	אֲבִידָע	Abida	son of Midian, son of Keturah, wife of Abraham	Abida	PN	person	6
abidan	אֲבִידָן	Abidan	son of Gideoni; chief from the tribe of Benjamin at the time of Moses	Abidan	PN	person	6
abiel	אֲבִיאֵל-1	Abiel	father of Kish and Ner, grandfather of king Saul and Abner; from the tribe of Benjamin	Abiel	PN	person	6
abiel	אֲבִיאֵל-2	Abiel	warrior in the time of king David	Abiel	PN	person	6
abiezer	אֲבִי הָעֶזְרִי	Abiezrite	member of clan of Abiezer	Abiezrites	PN	group	5
abiezer	אַרְבִּי	Arbite	inhabitant of Arab	Arbite	PN	group	5
abiezer	אֲבִיעֶזֶר-1	Abiezer	son of Hammolecheth, ancestor of clan from tribe of Manasseh	Abiezer	PN	person	6
abiezer	אֲבִיעֶזֶר-2	Abiezer	man from Anatoth, commander in army of king David	Abiezer	PN	person	6
abiezrites	אֲבִי הָעֶזְרִי	Abiezrite	member of clan of Abiezer	Abiezrites	PN	group	1
abigail	אֲבִיגַיִל-1	Abigail	wife of Nabal and later David; spelled Abigal on three occasions	Abigail	PN	person	6
abigail	אֲבִיגַיִל-2	Abigail	daughter of Nahash, sister of David, wife of Jether the Ishmaelite, mother of Amasa	Abigail	PN	person	6
abihail	אֲבִיהַיִל-1	Abihail	wife of Abishur, descendant of Jerahmeel, tribe of Judah	Abihail	PN	person	6
abihail	אֲבִיהַיִל-2	Abihail	daughter of Eliab, son of Jesse	Abihail	PN	person	6
abihail	אֲבִיחַיִל-1	Abihail	father of Zuriel from tribe of Levi	Abihail	PN	person	6
abihail	אֲבִיחַיִל-2	Abihail	son of Huri from tribe of Gad	Abihail	PN	person	6
abihail	אֲבִיחַיִל-3	Abihail	father of Esther from tribe of Benjamin	Abihail	PN	person	6
abihu	אֲבִיהוּא	Abihu	son of Aaron, priest from the tribe of Levi	Abihu	PN	person	6
abihud	אֲבִיהוּד	Abihud	son of Bela from tribe of Benjamin	Abihud	PN	person	6
abihud	Ἀβιούδ	Abiud	a person in the genealogy of Jesus	Abihud	PN	person	9
abijah	Ἀβιά-1	Abijah	a person in the genealogy of Jesus	Abijah	PN	person	5
abijah	Ἀβιά-2	Abijah	a founder of a class of priests	Abijah	PN	person	5
abijah	אֲבִי	Abi	daughter of Zechariah; wife of Ahaz; mother of Hezekiah; also known as Abijah	Abijah	PN	person	6
abijah	אֲבִיָּה-1	Abijah	son of Becher from the tribe of Benjamin	Abijah	PN	person	6
abijah	אֲבִיָּה-3	Abijah	son of Samuel	Abijah	PN	person	6
abijah	אֲבִיָּה-4	Abijah	priest, in charge of a division of priests in the time of David, from the tribe of Levi	Abijah	PN	person	6
abijah	אֲבִיָּה-5	Abijah	son of Rehoboam; king of Judah (913-911/10); also known as Abijam	Abijah	PN	person	6
abijah	אֲבִיָּה-6	Abijah	son of Jeroboam	Abijah	PN	person	6
abijah	אֲבִיָּה-7	Abijah	daughter of Zechariah, wife of Ahaz, mother of Hezekiah	Abijah	PN	person	6
abijah	אֲבִיָּה-8	Abijah	priest in the time after exile from the tribe of Levi	Abijah	PN	person	6
abijah	אֲבִיָּהוּ	Abijah	son of Rehoboam; king of Judah (913-911/10); name also spelled Abijah and also known as Abijam	Abijah	PN	person	6
abijah	אֲבִיָּם	Abijam	son of Rehoboam; king of Judah (913-911/10); also known as Abijah	Abijah	PN	person	6
abijah	אֲבִיָּה-2	Abijah	wife of Hezron	Abijah	PN	person	10
abijam	אֲבִיָּם	Abijam	son of Rehoboam; king of Judah (913-911/10); also known as Abijah	Abijah	PN	person	6
abilene	Ἀβιληνή	Abilene	a territory around the city of Abila, northwest of Damascus and ruled over by Lysanias	Abilene	PN	area	0
ability	חָכְמָה-1	ability; skill	state of having a certain level of proficiency	skill	AT	crafts; occupations	15
abimael	אֲבִימָאֵל	Abimael	son of Joktan, descendant of Shem	Abimael	PN	person	6
abimelech	אֲבִימֶלֶךְ-1	Abimelech	king of Gerar	Abimelek	PN	person	6
abimelech	אֲבִימֶלֶךְ-2	Abimelech	son of Gideon; king of Shechem (1129-1126)	Abimelek	PN	person	6
abimelech	אֲבִימֶלֶךְ-4	Abimelech	'=Achish, king of Gath?	Abimelek	PN	person	6
abimelech	אֲבִימֶלֶךְ-3	Abimelech	son of Abiathar; priest from tribe of Levi	Ahimelek	PN	person	10
abimelek	אֲבִימֶלֶךְ-1	Abimelech	king of Gerar	Abimelek	PN	person	10
abimelek	אֲבִימֶלֶךְ-2	Abimelech	son of Gideon; king of Shechem (1129-1126)	Abimelek	PN	person	10
abimelek	אֲבִימֶלֶךְ-4	Abimelech	'=Achish, king of Gath?	Abimelek	PN	person	10
abinadab	אֲבִינָדָב-1	Abinadab	man from Kiriath Jearim	Abinadabs	PN	person	6
abinadab	אֲבִינָדָב-2	Abinadab	son of Jesse; brother of David, from tribe of Judah	Abinadab	PN	person	6
abinadab	אֲבִינָדָב-3	Abinadab	son of king Saul from tribe of Benjamin	Abinadab	PN	person	6
abinadab	בֶּן־אֲבִינָדָב	Ben-Abinadab	official; time of king Solomon	Ben-Abinadabin	PN	person	10
abinadabs	אֲבִינָדָב-1	Abinadab	man from Kiriath Jearim	Abinadabs	PN	person	10
abinoam	אֲבִינֹעַם	Abinoam	father of Barak	Abinoam	PN	person	6
abiram	אֲבִירָם-1	Abiram	man, son of Eliab, from tribe of Reuben	Abiram	PN	person	6
abiram	אֲבִירָם-2	Abiram	son of Hiel	Abiram	PN	person	6
abiram	Αβιρων (DC)	Abiram	NEW		PN	person	9
abishag	אֲבִישַׁג	Abishag	concubine of David	Abishag	PN	person	6
abishai	אֲבִישַׁי	Abishai	son of Zeruiah, sister of David; warrior; also known as Abshai	Abishai	PN	person	6
abishai	בִּכְרִי	Bichri	father of Sheba; tribe of Benjamin	Bikri	PN	person	10
abishalom	אֲבִישָׁלוֹם	Absalom; Abishalom	father of Maakah, wife of Rehoboam; also known as Absalom	Abishalom	PN	person	6
abishua	אֲבִישׁוּעַ-1	Abishua	son of Phinehas; high priest; tribe of Levi	Abishua	PN	person	6
abishua	אֲבִישׁוּעַ-2	Abishua	son of Bela; tribe of Benjamin	Abishua	PN	person	6
abishur	אֲבִישׁוּר	Abishur	descendant of Jerahmeel; tribe of Judah	Abishur	PN	person	6
abital	אֲבִיטַל	Abital	wife of David, mother of Shephatiah	Abital	PN	person	6
abitub	אֲבִיטוּב	Abitub	son of Shaharaim from tribe of Benjamin	Abitub	PN	person	6
abiud	Ἀβιούδ	Abiud	a person in the genealogy of Jesus	Abihud	PN	person	5
ableto	ἰσχύω-3	be able to, be capable of	to have special personal ability to do or experience something	able to	AT	able, capable	14
abletojudge	κριτικός	able to discern	pertaining to the ability or capacity to judge cases	even to dividing	MI	intellect; choice	14
abner	אַבְנֵר	Abner	army commander of Saul, son of Ner from the tribe of Benjamin	Abner	PN	person	6
aboat	πλοιάριον	small boat	small fishing boat	small boat	RE	artifacts; transportation; hunting and fishing	14
abominable	תּוֹעֵבָה	horror, abomination	horror, abomination	nations	AT	paganism; morals and ethics	15
abomination	βδέλυγμα	abomination	an act that is utterly detestable and abhorrent	abominations	AT	morals and ethics; clean, pure, holy	14
abomination	פְּקֻדָּה	visitation	visitation	disaster on	AT		15
abomination	תַּזְנוּת	fornication	fornication	prostitution	AT	morals and ethics	15
abominationofdesolation	τὸ βδέλυγμα τῆς ἐρημώσεως	abomination of desolation	an object or an event that defiles a holy place and thus causes it to be abandoned and left desolate	abomination that	AT	morals and ethics; clean, pure, holy	10
abominations	βδέλυγμα	abomination	an act that is utterly detestable and abhorrent	abominations	AT	morals and ethics; clean, pure, holy	10
abominations	תּוֹעֵבָה	horror, abomination	horror, abomination	nations	AT	paganism; morals and ethics	11
abominations	תַּזְנוּת	fornication	fornication	prostitution	AT	morals and ethics	15
abominationthat	τὸ βδέλυγμα τῆς ἐρημώσεως	abomination of desolation	an object or an event that defiles a holy place and thus causes it to be abandoned and left desolate	abomination that	AT	morals and ethics; clean, pure, holy	14
abouttheplant	קִיקָיוֹן	castor oil plant	flowering plant in the spurge family; can grow to 3 m high; dark green fan-like leaves can reach half a meter across; produces bunches of prickly round seeds on a stalk; Ricinus communis - castor oil plant; oil of the bean was used for medicine, often as a purgative	about the plant	FL	health	15
abraham	Ἀβραάμ	Abraham	the patriarch of the Israelite nation and father of the faithful	Abraham	PN	person	5
abraham	אַבְרָהָם	Abraham	son of Terah; ancestor of Israel; also known as Abram	Abraham	PN	person	6
abraham	Θάρα	Terah	the father of Abraham in the genealogy of Jesus	Terah	PN	person	9
abraham	Αβρααμ (DC)	Abraham	NEW		PN	person	9
abram	אַבְרָם	Abram	son of Terah; ancestor of Israel; later known as Abraham	Abram	PN	person	6
abron	Αβρωνα (DC)	Abron	NEW		PN	nature	4
abronah	עַבְרֹנָה	Abronah	location along route of exodus	Abronah	PN	locale	1
absalom	אַבְשָׁלוֹם-1	Absalom	son of David	Absalom	PN	person	6
absalom	אַבְשָׁלוֹם-2	Absalom	father of Maacah, who was wife of Rehoboam; also known as Abishalom	Absalom	PN	person	6
absalom	אֲבִישָׁלוֹם	Absalom; Abishalom	father of Maakah, wife of Rehoboam; also known as Absalom	Abishalom	PN	person	10
abstainfrom	נזר	withdraw oneself, separate oneself, abstain from	withdraw oneself, separate oneself, abstain from	abstain from	AT	association; religious activities	15
abyss	ἄβυσσος	abyss; abode of evil spirits; very deep place	a location of the dead and a place where the Devil is kept, the abode of the beast as the antichrist, and of Abaddon, as the angel of the underworld	Abyss	MI	universe	10
acaciawood	שִׁטָּה	acacia tree	short desert tree, reaching 3-5 m tall, with a wide crown; has sharp spines, finely divided leaves, and tiny pale yellow flowers arranged in drooping bunches; produces a bean pod that is twisted and looped when dry; member of Mimosa family, Acacia tortilis or Acacia raddiana	acacia wood	FL	trees	11
acake	אֶשְׁפָּר	date-cake	cake made out of dates and cooked or raw cereals	a cake	FL	food	11
acake	אֲשִׁישָׁה	raisin-cake	cake made of dried, compressed grapes; possibly eaten at festivals and other special ceremonies	raisins	FL	food	15
acalf	עֵגֶל-1	male calf	male young of a cow; used for sacrifice	the calf	FA	mammals	15
acbor	עַכְבּוֹר-1	Achbor	father of Baal-Hanan, king of Edom	Akbor	PN	person	10
acbor	עַכְבּוֹר-2	Achbor	son of Micaiah; official; time of king Josiah	Akbor	PN	person	10
acbor	עַכְבּוֹר-3	Achbor	father of Elnathan, official, time of king Jehoiakim	Akbor	PN	person	10
accad	אַכַּד	Accad	town; Mesopotamia	Akkad	PN	settlement	1
accho	עַכּוֹ	Acco	town; territory of Asher	Akko	PN	settlement	5
acco	עַכּוֹ	Acco	town; territory of Asher	Akko	PN	settlement	1
accordingtothe	νομίμως	lawfully; according to the rules	pertaining to being correct according to rules and regulations	according to the	MI	morals and ethics	10
accurateweights	στάθμιον (DC)	stone weights	NEW		RE		14
accursedthing	חֵרֶם-2	something devoted to God, something devoted for destruction; devoted thing	state of having been set irrevocably apart for God; as a result of which people and animals are to be put to death, cities are to be destroyed, and other objects are to be set apart for the service of God	devoted things	RI	pure, clean, holy; violence, harm, destroy, kill; separation	15
accused	κατήγωρ	Accuser	Satan, as one who brings accusations against	accuser	BE	supernatural beings and powers	14
accuser	κατήγωρ	Accuser	Satan, as one who brings accusations against	accuser	BE	supernatural beings and powers	10
aceldama	Ἁκελδαμάχ	Akeldama	(an Aramaic term meaning field of blood) a piece of land, probably south of the valley of Hinnom outside Jerusalem, which was bought with Judas' money	Akeldama	PN	area	4
achaia	Ἀχαΐα	Achaia	a Roman province including the most important parts of Greece	Achaia	PN	area	0
achaicus	Ἀχαϊκός	Achaicus	a Christian at Corinth	Achaicus	PN	person	5
achan	עָכָן	Achan	son of Carmi; tribe of Judah	Achan	PN	person	6
achan	עָכָר	Achar	son of Carmi; tribe of Judah	Achar	PN	person	6
achar	עָכָר	Achar	son of Carmi; tribe of Judah	Achar	PN	person	6
achaz	Ἀχάζ	Ahaz	a person in the genealogy of Jesus	Ahaz	PN	person	9
achbor	עַכְבּוֹר-1	Achbor	father of Baal-Hanan, king of Edom	Akbor	PN	person	6
achbor	עַכְבּוֹר-2	Achbor	son of Micaiah; official; time of king Josiah	Akbor	PN	person	6
achbor	עַכְבּוֹר-3	Achbor	father of Elnathan, official, time of king Jehoiakim	Akbor	PN	person	6
achim	Ἀχίμ	Achim	a person in the genealogy of Jesus	Akim	PN	person	5
achior	Αχιωρ (DC)	Achior	Ammonite leader		PN	person	9
achish	אָכִישׁ	Achish	son of Maacah; king of Gath	Achish	PN	person	6
achli	אַחְלַי-2	Ahlai	father of Zabad, warrior, time of king David	Ahlai	PN	person	10
achsah	עַכְסָה	Achsah	daughter of Caleb	Aksah	PN	person	6
achshaph	אַכְשָׁף	Achshaph	town; territory of Asher	Akshaph	PN	settlement	1
achzib	אַכְזִיב-1	Achzib	town; territory of Judah	Akzib	PN	settlement	1
achzib	אַכְזִיב-2	Achzib	town; territory of Asher	Akzib	PN	settlement	1
achzib	כְּזִיב	Chezib	location	Kezib	PN	settlement	5
acloth	κειρία	band of cloth; strip of cloth	small piece of cloth; used for wrapping something	and a cloth	RE	artifacts; cloth	10
acommand	ἐπιτιμάω-2	to command	to tell someone to do something, with the implication of a threat	the boy and	AT	communication; authority	14
acquittal	δικαίωσις	acquittal, setting free	the act of clearing someone of transgression		AT	morals and ethics	14
acquitted	δικαιόω-3	acquit, remove guilt; release, set free	to clear of transgression or cause to be released from some state or situation involving moral issues	set free	AT	morals and ethics	10
acrossthesea	Ἀδρίας	Adriatic Sea	Adriatic Sea	Adriatic Sea	PN	nature	4
acrown	διάδημα	diadem crown	a type of crown employed as a symbol of the highest ruling power in a particular area and therefore often associated with kingship	with ten crowns	RE	artifacts; royalty	14
acsah	עַכְסָה	Achsah	daughter of Caleb	Aksah	PN	person	10
acshaph	אַכְשָׁף	Achshaph	town; territory of Asher	Akshaph	PN	settlement	5
actofimpurity	נִדָּה	state of impurity, pollution	state of impurity, pollution	relations	AT	clean, pure, holy	15
acultprostitute	קָדֵשׁ-2	female temple prostitute	female temple prostitute	the shrine prostitute	BE	people; paganism; religious activities; occupations	15
acurse	אלה	to curse	to utter a statement calling for harm or injury to someone	to take	RI	blessing and curse; communication	15
aczib	אַכְזִיב-1	Achzib	town; territory of Judah	Akzib	PN	settlement	5
aczib	אַכְזִיב-2	Achzib	town; territory of Asher	Akzib	PN	settlement	5
adadah	עַדְעָדָה	Adadah	town; territory of Judah	Adadah	PN	settlement	1
adah	עָדָה-1	Adah	wife of Lamech	Adah	PN	person	6
adah	עָדָה-2	Adah	wife of Esau	Adah	PN	person	6
adaiah	עֲדָיָה-1	Adaiah	father of Jedidah, wife of Amon, king of Judah	Adaiah	PN	person	6
adaiah	עֲדָיָה-2	Adaiah	son of Adaiah; ancestor of Asaph; tribe of Levi	Adaiah	PN	person	6
adaiah	עֲדָיָה-3	Adaiah	son of Shimei; family head; tribe of Benjamin	Adaiah	PN	person	6
adaiah	עֲדָיָה-4	Adaiah	son of Jeroham; priest; after exile	Adaiah	PN	person	6
adaiah	עֲדָיָה-5	Adaiah	various men; married foreign wives; after exile	Adaiah	PN	person	6
adaiah	עֲדָיָה-6	Adaiah	son of Joiarib; tribe of Judah; after exile	Adaiah	PN	person	6
adaiah	עֲדָיָה-7	Adaiah	son of Jeroham; priest; after exile	Adaiah	PN	person	6
adaiah	עֲדָיָהוּ	Adaiah	father of Maaseiah, officer, time of queen Athalia	Adaiah	PN	person	6
adalia	אֲדַלְיָא	Adalia	son of Haman	Adalia	PN	person	6
adam	אָדָם-2	Adam	location near the river Jordan near Zarethan	Adam	PN	settlement	1
adam	Ἀδάμ	Adam	ancestor of the human race	Adam	PN	person	5
adam	אָדָם-1	Adam	first man, husband of Eve, father of Cain, Abel, and Seth	Adam	PN	person	6
adam	Αδαμ (DC)	Adam	NEW		PN	person	9
adamah	אֲדָמָה	Adamah	fortified town; territory of Naphtali	Adamah	PN	settlement	1
adaminekeb	אֲדָמִי הַנֶּקֶב	Adami Nekeb	town in Naphtali	Adami Nekeb	PN	settlement	1
adar	Αδαρ (DC)	Adar	NEW		PN	calendar	4
adar	אַדָּר-1	Adar	town in Judah; also known as Hazar-Addar	Addar	PN	settlement	5
adbeel	אַדְבְּאֵל	Adbeel	son of Ishmael	Adbeel	PN	person	6
addan	אַדָּן	Addan	town in Chaldea	Addon	PN	settlement	1
addar	אַדָּר-1	Adar	town in Judah; also known as Hazar-Addar	Addar	PN	settlement	1
addar	אַדָּר-2	Adar	son of Bela; tribe of Benjamin; also referred to as Ard	Addar	PN	person	6
addi	Ἀδδί	Addi	a person in the genealogy of Jesus	Addi	PN	person	5
addon	אַדּוֹן	Addon	town in Chaldea	Addon	PN	settlement	1
addon	אַדָּן	Addan	town in Chaldea	Addon	PN	settlement	1
adeer	אַיָּל	fallow deer	wild ruminating mammal with four legs, standing about a meter high at the shoulder; male grows antlers, which are dropped every year; has a reddish fur with white spots during summer; during winter the white spots disappear and the coat becomes darker; Cervidae family; clean animal and can therefore be eaten; associated with strength, speed, and agility; the male is also associated with sexual prowess	gazelle or deer	FA	mammals; wild animals	15
ademonjesus	δαιμονίζομαι	be demon possessed	to be possessed by a demon	the demon-possessed	AT	supernatural beings and powers	14
ader	עֶדֶר	Eder	son of Beria; family head; tribe of Benjamin	Eder	PN	person	10
adiel	עֲדִיאֵל-1	Adiel	man; tribe of Simeon	Adiel	PN	person	6
adiel	עֲדִיאֵל-2	Adiel	son of Jahzerah (Ahzai); father of Maasai (Amashsai), priest	Adiel	PN	person	6
adiel	עֲדִיאֵל-3	Adiel	father of Azmaveth; official; time of David	Adiel	PN	person	6
adin	עָדִין	Adin	family head; after exile	Adin	PN	person	6
adina	עֲדִינָא	Adina	son of Shiza; chief; tribe of Reuben; warrior; time of king David	Adina	PN	person	6
adithaim	עֲדִיתַיִם	Adithaim	town; territory of Judah	Adithaim	PN	settlement	1
adlai	עַדְלַי	Adlai	father of Shaphat, official, time of king David	Adlai	PN	person	6
admah	אַדְמָה	Admah	one of the 5 cities in the plain which included Sodom and Gomorrah	Admah	PN	settlement	1
admatha	אַדְמָתָא	Admatha	adviser to Ahasuerus	Admatha	PN	person	6
admin	Ἀδμίν	Admin	a person in the genealogy of Jesus	Amminadab	PN	person	5
adna	עַדְנָא-1	Adna	descendant of Pahath-Moab; married a foreign wife; after exile	Adna	PN	person	6
adna	עַדְנָא-2	Adna	priest; family head; tribe of Levi; time of Joiakim	Adna	PN	person	6
adnach	עַדְנַח	Adnah	warrior; tribe of Manasseh; time of king David	Adnah	PN	person	10
adnah	עַדְנָה	Adnah	officer; time of king Jehoshaphat	Adnah	PN	person	6
adnah	עַדְנַח	Adnah	warrior; tribe of Manasseh; time of king David	Adnah	PN	person	6
adonibezek	אֲדֹנִי־בֶזֶק	Adoni-Bezek	king of Bezek; time of the Judges	Adoni-Bezek	PN	person	6
adonijah	אֲדֹנִיָּה-1	Adonijah	son of David	Adonijah	PN	person	6
adonijah	אֲדֹנִיָּה-2	Adonijah	man; time of Nehemiah	Adonijah	PN	person	6
adonijah	אֲדֹנִיָּהוּ-1	Adonijah	son of David	Adonijah	PN	person	6
adonijah	אֲדֹנִיָּהוּ-2	Adonijah	Levite; time of king Jehoshaphat	Adonijah	PN	person	6
adonikam	אֲדֹנִיקָם	Adonikam	family head; after exile	Adonikam	PN	person	6
adoniram	אֲדֹנִירָם	Adoniram	son of Abda; official; time of kings David, Solomon, and Rehoboam	Adoniram	PN	person	6
adoniram	אֲדֹרָם	Adoram	son of Abda; official; time of kings David and Solomon	Adoniram	PN	person	6
adoniram	הֲדֹרָם	Hadoram	son of Abda; official; time of kings David and Solomon	Adoniram	PN	person	6
adonizedec	אֲדֹנִי־צֶדֶק	Adoni-Zedek	king of Jerusalem; time of Joshua	Adoni-Zedek	PN	person	10
adonizedek	אֲדֹנִי־צֶדֶק	Adoni-Zedek	king of Jerusalem; time of Joshua	Adoni-Zedek	PN	person	6
adoraim	אֲדוֹרַיִם	Adoraim	town in Judah	Adoraim	PN	settlement	1
adoram	אֲדֹרָם	Adoram	son of Abda; official; time of kings David and Solomon	Adoniram	PN	person	6
adrammelech	אַדְרַמֶּלֶךְ-1	Adrammelech	god of Sepharvaim	Adrammelek	PN	supernatural beings and powers	1
adrammelech	אַדְרַמֶּלֶךְ-2	Adrammelech	son of Sennacherib, king of Assyria	Adrammelek	PN	person	6
adrammelek	אַדְרַמֶּלֶךְ-1	Adrammelech	god of Sepharvaim	Adrammelek	PN	supernatural beings and powers	5
adrammelek	אַדְרַמֶּלֶךְ-2	Adrammelech	son of Sennacherib, king of Assyria	Adrammelek	PN	person	10
adria	Ἀδρίας	Adriatic Sea	Adriatic Sea	Adriatic Sea	PN	nature	4
adriaticsea	Ἀδρίας	Adriatic Sea	Adriatic Sea	Adriatic Sea	PN	nature	0
adriel	עַדְרִיאֵל	Adriel	man from Abel-Meholah; husband of Merab, daughter of king Saul	Adriel	PN	person	6
aduel	Αδουηλ (DC)	Aduel	NEW		PN	person	9
adullam	עֲדֻלָּם	Adullam	location	Adullam	PN	locale	1
adullam	עֲדֻלָּמִי	Adullamite	inhabitant of Adullam	Adullamite	PN	group	5
adullamite	עֲדֻלָּמִי	Adullamite	inhabitant of Adullam	Adullamite	PN	group	1
adulterer	μοιχός	adulterer	a person who commits adultery, specifically referring to males, but also including females in generic contexts	adulterer	BE	people; marriage; morals and ethics	10
adulterers	μοιχός	adulterer	a person who commits adultery, specifically referring to males, but also including females in generic contexts	adulterer	BE	people; marriage; morals and ethics	10
adulteress	μοιχαλίς-1	adulteress	a woman who commits adultery	adulteress	BE	people; marriage; morals and ethics	10
adulterous	μοιχαλίς-2	unfaithful, adulterous	(a figurative extension of meaning of the substantive μοιχαλίς adulteress) pertaining to being unfaithful to one's earlier and true beliefs	adulterous	AT	morals and ethics; faithfulness	10
adultery	μοιχεία	adultery	sexual intercourse between a man and a married woman who is not his wife	adultery	MI	marriage; morals and ethics	10
adultery	μοιχεία (DC)	adultery	
    		MI		14
